ChZDSUhNMG9nS0VJQ0FnSUN4bWFTNGVnEAE,Ninin,4,⭐⭐⭐⭐,3 tahun lalu,Kesini pas waktu itu lagi ada kegiatan Pasar Kangen.
ChZDSUhNMG9nS0VJQ0FnSURIenRXNmRBEAE,Yulia Rosdiana Putri,5,⭐⭐⭐⭐⭐,setahun lalu,"Kedua kali ke sini. Pertama sebelum dibuka untuk berbayar. Kedua, saat gelaran Jogja Book Fair. Suasana masih sama, luas dan syahdu. Cuma memang panas banget misal siang hari ke sini."
ChZDSUhNMG9nS0VJQ0FnSUNHN2NPRExnEAE,Anastasia Rini,4,⭐⭐⭐⭐,4 tahun lalu,"Satu kali kunjungan.hanya di hal belakang
Gsms propinsi daerah istimewa Yogyakarta"
ChdDSUhNMG9nS0VJQ0FnSURkeF83SWd3RRAB,Edi Sri Mulyanta,5,⭐⭐⭐⭐⭐,2 tahun lalu,"Menghadiri acara IKAPI, melihat potensi buku di masa yang akan datang. Kebetulan hidupku banyak di dunia buku, sehingga penting  untuk memahaminya."
ChdDSUhNMG9nS0VJQ0FnSUNlamY3XzhRRRAB,Giovani Bajeng,5,⭐⭐⭐⭐⭐,3 tahun lalu,Tempat wisata keluarga yang ramah dikantong.. anak anak seneng karena bisa lari lari di rumput.. liat diorama.. belajar sambil liburan..
Ci9DQUlRQUNvZENodHljRjlvT2xWQmQyRk9hMmczVVhVdGRHVjZSbnBCVUdsd2ExRRAB,steven yanuar,5,⭐⭐⭐⭐⭐,10 bulan lalu,Terima Kasih
ChdDSUhNMG9nS0VJQ0FnSUQtemVpc3B3RRAB,Lastinawati Wati,5,⭐⭐⭐⭐⭐,3 tahun lalu,Koleksi buku dan informasi terlengkap dan tempat yg tenang utk belajar
ChZDSUhNMG9nS0VJQ0FnSUMxeWJ5TEdnEAE,Dui Rambler,5,⭐⭐⭐⭐⭐,2 tahun lalu,"Berkunjung kesini saat pameran film pendidikan
Keren"
ChZDSUhNMG9nS0VJQ0FnSUNXczR2dlVnEAE,Yohna fortinatus,3,⭐⭐⭐,4 tahun lalu,Keren tempatnya
ChZDSUhNMG9nS0VJQ0FnSUMtOWR5RWVREAE,Pak Rio SD KASA,5,⭐⭐⭐⭐⭐,3 tahun lalu,"Tempat nyaman koleksi mumpuni, fasilitas lenkap"
ChZDSUhNMG9nS0VJQ0FnSUNXbFl6d0lBEAE,Anggrit Purbani,4,⭐⭐⭐⭐,4 tahun lalu,Ada pasar kangen
ChdDSUhNMG9nS0VJQ0FnSUNkN2JfNWxnRRAB,khairul Mudakir,5,⭐⭐⭐⭐⭐,2 tahun lalu,Komplit buat pembelajaran ananda
ChdDSUhNMG9nS0VJQ0FnSUMwbTdpOHd3RRAB,achmad gunadi,5,⭐⭐⭐⭐⭐,6 tahun lalu,Perpus diy nyaman utk baca
ChZDSUhNMG9nS0VJQ0FnSURpbkx6MFFnEAE,Leon L,5,⭐⭐⭐⭐⭐,5 tahun lalu,lokasi pameran mobil antik
ChdDSUhNMG9nS0VJQ0FnSUNXdnZXQnJ3RRAB,masFADZ,5,⭐⭐⭐⭐⭐,4 tahun lalu,Tempat arsip daerah..
